변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,180586,이마트에브리데이 행당점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,181742,(선택)배스킨라빈스 성북아리랑점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,181743,(선택)배스킨라빈스 보문역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,181744,(선택)배스킨라빈스 한성대입구역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,181745,(선택)배스킨라빈스 성신여대점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,181747,(선택)배스킨라빈스 성북종암점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,185532,스타벅스 금호역,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,185532,스타벅스 금호역,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,186220,CU 마장센트럴점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,186220,CU 마장센트럴점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,186220,CU 마장센트럴점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,191848,파리바게뜨 동소문한신점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,191848,파리바게뜨 동소문한신점,18704,"프라임 픽업할증_1,100원",UNCONDITIONAL,1100,1000,
매핑해제,191848,파리바게뜨 동소문한신점,30322,[성북보문] 종암동 550원,REGIONS,550,500,
매핑해제,191848,파리바게뜨 동소문한신점,52202,[성북보문] 혜화동 550원,REGIONS,550,500,
매핑해제,191848,파리바게뜨 동소문한신점,52203,[성북보문] 이화동 550원,POLYGON,550,500,
매핑해제,191848,파리바게뜨 동소문한신점,52207,"[성북보문] 정릉 1,2동 550원",REGIONS,550,500,
매핑해제,191848,파리바게뜨 동소문한신점,52211,[성북보문] 성북동 550원,REGIONS,550,500,
매핑해제,193683,올리브영 돈암중앙점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,193684,올리브영 돈암점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,193685,올리브영 성신여대입구역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,193877,[유휴]올리브영 돈암중앙점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,193878,[유휴]올리브영 돈암점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,193879,[유휴]올리브영 성신여대입구역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,194980,세븐일레븐 왕십리텐즈힐점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,194980,세븐일레븐 왕십리텐즈힐점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,196190,올리브영 황학사거리점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,196907,요기요OD_성북길음지점/강북도봉,147706,요기요OD_아침배송,WEEKLY_HOURS,1100,1000,
매핑해제,196907,요기요OD_성북길음지점/강북도봉,83080,요기요OD 주류배송 할증,LIQUOR,550,500,
