상점_ID,상점명,관심상점_여부,분석_오더_건수,조기도착_건수,조기도착_비중_%,지각도착_건수,지각도착_비중_%,요청대비_도착차이_평균_분,조기_요청대비_픽업차이_평균_분,조기_도착후_대기_평균_분,지각_요청대비_픽업차이_평균_분,지각_도착후_대기_평균_분,타상점50건_조기도착_비중_%,타상점50건_지각도착_비중_%,타상점50건_요청대비_도착차이_평균_분,타상점50건_조기_요청대비_픽업차이_평균_분,타상점50건_조기_도착후_대기_평균_분,타상점50건_지각_요청대비_픽업차이_평균_분,타상점50건_지각_도착후_대기_평균_분,조기도착_비중_타상점대비_차이_pp,지각도착_비중_타상점대비_차이_pp,요청대비_도착차이_타상점대비_차이_분,조기_요청대비_픽업차이_타상점대비_차이_분,조기_대기_타상점대비_차이_분,지각_요청대비_픽업차이_타상점대비_차이_분,지각_대기_타상점대비_차이_분
102778,[유휴]올리브영 휘경동점,N,32,20,62.5,12,37.5,-2.76,-7.95,0.31,7.12,0.72,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-6.57,6.57,-0.34,-3.94,-2.55,-1.15,-0.03
263745,[직영A] 케이비빔밥 동대문점,N,32,19,59.38,13,40.62,1.64,-4.75,1.92,14.19,0.41,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-9.69,9.69,4.06,-0.74,-0.94,5.92,-0.34
264013,[직영A] 토핑몬스터피자 제기동점,N,32,12,37.5,20,62.5,6.66,-1.86,1.68,13.94,1.16,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-31.57,31.57,9.08,2.15,-1.18,5.67,0.41
261812,[직영A] 교촌치킨 장안2호점,N,31,23,74.19,8,25.81,-2.67,-3.29,5.87,16.29,0.31,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,5.12,-5.12,-0.25,0.72,3.01,8.02,-0.44
262056,[직영A] 겨울빙수,N,31,20,64.52,11,35.48,-1.14,-4.95,1.72,9.99,1.06,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-4.55,4.55,1.28,-0.94,-1.14,1.72,0.31
262093,[직영A] 써브웨이 외대점,N,30,23,76.67,7,23.33,-2.91,-4.36,0.78,4.84,0.42,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,7.6,-7.6,-0.49,-0.35,-2.08,-3.43,-0.33
262103,[직영A] 풍국면 장안점,N,30,17,56.67,13,43.33,0.41,-1.45,5.16,10.76,1.17,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-12.4,12.4,2.83,2.56,2.3,2.49,0.42
265203,[직영A] 잇라이트 샐러드&포케 장안점,N,30,8,26.67,22,73.33,5.23,-1.99,1.47,9.34,0.95,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-42.4,42.4,7.65,2.02,-1.39,1.07,0.2
104871,뚜레쥬르 장안교점,N,29,25,86.21,4,13.79,-6.27,-6.75,1.46,6.44,0.62,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,17.14,-17.14,-3.85,-2.74,-1.4,-1.83,-0.13
265133,[직영A] 요거트가족 경희대점,N,27,21,77.78,6,22.22,-2.99,-3.94,1.7,6.79,0.49,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,8.71,-8.71,-0.57,0.07,-1.16,-1.48,-0.26
261813,[직영A] 후라이드 참 잘하는집 장안점,N,26,19,73.08,7,26.92,-3.03,-2.96,2.32,3.53,0.45,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.01,-4.01,-0.61,1.05,-0.54,-4.74,-0.3
261904,[직영A] 카쿠레야,N,26,15,57.69,11,42.31,1.5,-1.95,5.85,15.2,1.03,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-11.38,11.38,3.92,2.06,2.99,6.93,0.28
265704,GS25 경희의대점,N,26,20,76.92,6,23.08,-2.54,-4.86,1.1,9.26,0.41,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,7.85,-7.85,-0.12,-0.85,-1.76,0.99,-0.34
261873,[직영A]동대문엽기떡볶이 전농사거리점,N,25,20,80.0,5,20.0,-4.5,-4.35,3.05,7.55,0.45,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,10.93,-10.93,-2.08,-0.34,0.19,-0.72,-0.3
263788,[직영A] 맘스터치 답십리점,N,25,17,68.0,8,32.0,-1.17,-5.32,1.03,10.61,0.76,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-1.07,1.07,1.25,-1.31,-1.83,2.34,0.01
36616,CU 전농으뜸점,N,24,15,62.5,9,37.5,-1.95,-5.06,0.76,4.93,0.44,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-6.57,6.57,0.47,-1.05,-2.1,-3.34,-0.31
263770,[직영A] 자담치킨 서울장안점,N,24,16,66.67,8,33.33,3.13,-4.37,0.95,21.25,1.23,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-2.4,2.4,5.55,-0.36,-1.91,12.98,0.48
264954,[직영A]주니아 장안점,N,24,14,58.33,10,41.67,0.28,-2.8,1.97,7.68,0.33,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-10.74,10.74,2.7,1.21,-0.89,-0.59,-0.42
261901,[직영A] 요거트월드 외대역점,N,23,9,39.13,14,60.87,1.22,-2.99,0.59,5.12,0.82,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-29.94,29.94,3.64,1.02,-2.27,-3.15,0.07
263678,CU 답십리자이점,N,23,17,73.91,6,26.09,-1.23,-4.65,1.57,13.55,0.65,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.84,-4.84,1.19,-0.64,-1.29,5.28,-0.1
102775,[유휴]올리브영 서울시립대점,N,22,19,86.36,3,13.64,-5.38,-7.66,0.63,14.01,0.93,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,17.29,-17.29,-2.96,-3.65,-2.23,5.74,0.18
261816,[직영A] 김가네 장안점,N,22,13,59.09,9,40.91,-0.99,-4.84,2.59,9.0,0.69,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-9.98,9.98,1.43,-0.83,-0.27,0.73,-0.06
262057,[직영A] 피자브라더스,N,22,16,72.73,6,27.27,0.51,-2.86,2.56,17.99,1.65,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,3.66,-3.66,2.93,1.15,-0.3,9.72,0.9
263823,[직영A] 삼보닭꼬치,N,22,11,50.0,11,50.0,0.97,-3.47,1.56,7.33,0.35,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-19.07,19.07,3.39,0.54,-1.3,-0.94,-0.4
265202,[직영A] 도넛팩토리 경희의료원점,N,22,12,54.55,10,45.45,1.25,-3.78,2.16,10.2,0.32,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-14.52,14.52,3.67,0.23,-0.7,1.93,-0.43
181732,(선택)배스킨라빈스 전농점,N,21,12,57.14,9,42.86,-0.2,-3.93,2.52,9.87,1.75,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-11.93,11.93,2.22,0.08,-0.34,1.6,1.0
263716,[직영A] 엠브로 돈까스 답십리점,N,21,13,61.9,8,38.1,-2.03,-6.07,0.4,5.79,0.59,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-7.17,7.17,0.39,-2.06,-2.46,-2.48,-0.16
261758,[직영A] 배떡 청량리점,N,20,18,90.0,2,10.0,-3.68,-2.77,2.55,11.26,0.24,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,20.93,-20.93,-1.26,1.24,-0.31,2.99,-0.51
264311,GS25 고려대역점,N,20,13,65.0,7,35.0,0.42,-4.59,0.45,11.14,0.58,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-4.07,4.07,2.84,-0.58,-2.41,2.87,-0.17
265027,[직영A] 패트릭스와플 회기점,N,19,13,68.42,6,31.58,-3.12,-3.51,3.43,6.07,0.93,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-0.65,0.65,-0.7,0.5,0.57,-2.2,0.18
262905,CU 제기리더스캐슬점,N,18,10,55.56,8,44.44,-1.07,-5.7,0.54,6.13,0.74,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-13.51,13.51,1.35,-1.69,-2.32,-2.14,-0.01
264028,[직영A] 따께리아 라비다,N,18,10,55.56,8,44.44,-0.43,-5.64,0.68,8.37,1.42,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-13.51,13.51,1.99,-1.63,-2.18,0.1,0.67
54144,(창)[유휴]올리브영 신설동역점,N,17,12,70.59,5,29.41,-2.06,-4.73,3.17,23.51,11.55,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,1.52,-1.52,0.36,-0.72,0.31,15.24,10.8
262138,[직영A] 써브웨이 경희대점,N,17,11,64.71,6,35.29,-2.84,-6.5,3.43,10.56,0.39,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-4.36,4.36,-0.42,-2.49,0.57,2.29,-0.36
265093,[직영A] 메모아르,N,17,15,88.24,2,11.76,-4.21,-5.68,1.05,15.12,0.46,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,19.17,-19.17,-1.79,-1.67,-1.81,6.85,-0.29
266203,[직영A]두찜 동대문답십리점,N,17,13,76.47,4,23.53,-2.66,-3.59,2.69,11.14,2.04,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,7.4,-7.4,-0.24,0.42,-0.17,2.87,1.29
