store_id,sgg,admin_dong
126090,성동구,금호2·3가동
126091,성동구,행당2동
126092,성동구,금호4가동
126231,성동구,왕십리도선동
126232,성동구,사근동
126809,성동구,사근동
126887,성동구,옥수동
126908,성동구,행당1동
127542,성동구,옥수동
128149,성동구,금호2·3가동
128868,성동구,행당2동
129227,성동구,옥수동
129620,성동구,금호2·3가동
130000,성북구,돈암2동
130071,성동구,옥수동
130147,성북구,보문동
130201,성동구,응봉동
130390,성북구,보문동
130831,성동구,행당2동
131224,성동구,옥수동
131306,성북구,동선동
131516,성동구,왕십리도선동
131517,성동구,금호1가동
131518,성동구,왕십리도선동
131519,성동구,사근동
132139,성동구,금호2·3가동
132213,성동구,금호2·3가동
132330,성동구,왕십리도선동
132373,성북구,안암동
132412,성북구,보문동
132420,성북구,동선동
132556,성동구,왕십리도선동
132920,성북구,동선동
133891,성북구,길음1동
133961,성북구,성북동
134183,성동구,옥수동
134191,성동구,옥수동
134380,성동구,사근동
135767,성동구,옥수동
135768,성동구,왕십리2동
135850,성북구,성북동
135996,성북구,길음1동
136818,성동구,옥수동
136884,성북구,성북동
136890,성북구,삼선동
136951,성동구,응봉동
136952,성동구,마장동
136953,성동구,마장동
136954,성동구,마장동
136955,성동구,마장동
136956,성동구,마장동
136957,성동구,마장동
136958,성동구,마장동
137120,성동구,금호1가동
137234,성북구,길음2동
137243,성북구,종암동
137691,성북구,종암동
137943,성북구,동선동
137944,성북구,동선동
137961,성동구,왕십리도선동
137962,성동구,마장동
138407,성북구,동선동
138516,성북구,길음2동
138769,성동구,옥수동
138780,성북구,안암동
138788,성북구,보문동
138802,성북구,안암동
139214,성동구,옥수동
139296,성동구,왕십리도선동
139383,성동구,옥수동
140122,성북구,보문동
140124,성북구,길음1동
140202,성동구,금호4가동
140274,성북구,보문동
140379,성북구,성북동
140684,성동구,사근동
140713,성북구,종암동
140732,성동구,금호4가동
140766,성동구,행당1동
141078,성북구,보문동
141085,성동구,금호4가동
141256,성동구,마장동
141909,성동구,마장동
142087,성동구,마장동
142222,성북구,동선동
143261,성북구,길음2동
143848,성동구,왕십리도선동
143864,성북구,길음2동
143865,성북구,길음1동
143868,성북구,길음2동
143869,성북구,종암동
144122,성북구,종암동
144123,성북구,종암동
144124,성북구,종암동
144127,성북구,길음2동
144212,성북구,길음1동
144278,성북구,돈암1동
144318,성북구,길음2동
144539,성북구,정릉2동
144590,성북구,길음2동
144770,성북구,성북동
144813,성북구,종암동
