store_id,store_name,sgg,admin_dong,last_order_at,order_cnt_3m
161138,GS25 금호극동점,성동구,왕십리2동,2026-06-29T14:06:56+09:00,5
148221,GS25 행당벽산점,성동구,행당2동,2026-06-29T13:23:22+09:00,82
61115,GS25 성북건영점,성북구,돈암2동,2026-06-29T13:20:42+09:00,16
191848,파리바게뜨 동소문한신점,성북구,돈암2동,2026-06-29T12:38:27+09:00,6
196908,요기요OD_단건_성북길음지점/강북도봉,성북구,길음2동,2026-06-29T12:33:03+09:00,97
233841,(선택)파리바게뜨 종암사거리점,성북구,종암동,2026-06-29T12:02:11+09:00,25
237784,[길음역]길음역라와마라탕 1층,성북구,길음1동,2026-06-29T11:11:03+09:00,65
219944,올리브영 한성대입구역점,성북구,삼선동,2026-06-29T10:25:08+09:00,398
181736,(선택)던킨도너츠 왕십리민자역사점,성동구,행당1동,2026-06-29T10:15:33+09:00,29
181741,(선택)배스킨라빈스 성동금호점,성동구,금호4가동,2026-06-28T21:55:30+09:00,120
203726,CU 상왕십리역점,성동구,왕십리도선동,2026-06-28T20:31:23+09:00,23
51418,CU 성동마장로점,성동구,마장동,2026-06-28T19:41:59+09:00,42
126809,CU 한양대후문점,성동구,사근동,2026-06-28T19:35:27+09:00,22
181739,(선택)배스킨라빈스 행당점,성동구,행당2동,2026-06-28T18:55:43+09:00,161
129620,GS25 성동금남점,성동구,금호2·3가동,2026-06-28T18:52:06+09:00,22
234054,(선택)파리바게뜨 정릉제일점,성북구,정릉1동,2026-06-28T17:27:22+09:00,51
173387,CU 성북리치점,성북구,삼선동,2026-06-28T17:19:59+09:00,3
165281,CU 보문아남점,성북구,보문동,2026-06-28T16:40:49+09:00,5
118978,슈퍼키친 행당역,성동구,행당2동,2026-06-28T16:27:26+09:00,24
95753,투썸플레이스 종암점,성북구,종암동,2026-06-28T15:19:05+09:00,17
34727,초록마을 옥수직영점,성동구,옥수동,2026-06-28T15:02:03+09:00,90
38884,CU 성동금호점,성동구,금호4가동,2026-06-28T14:13:14+09:00,41
65839,GS25 성동무학교점,성동구,왕십리도선동,2026-06-28T13:09:31+09:00,9
236669,GS25 성동샤르망점,성동구,행당1동,2026-06-28T13:04:55+09:00,11
