store_id,store_name,monitoring_partner_id,monitoring_partner_name,monitoring_partner_number
37420,CU 왕십리텐즈힐점,2190,성동행당지점,p626A
38884,CU 성동금호점,2190,성동행당지점,p626A
38887,CU 마장서울점,2190,성동행당지점,p626A
41562,CU 금호동3가점,2190,성동행당지점,p626A
42275,왕십리점 홈플러스익스프레스,2190,성동행당지점,p626A
51209,CU 금호한신점,2190,성동행당지점,p626A
51418,CU 성동마장로점,2190,성동행당지점,p626A
53569,CU 성동행당점,2190,성동행당지점,p626A
54132,[유휴]올리브영 상왕십리역점,2190,성동행당지점,p626A
54136,[유휴]올리브영 금호점,2190,성동행당지점,p626A
54384,뚜레쥬르 금호역점,2190,성동행당지점,p626A
56033,GS25 왕십리무학봉점,2190,성동행당지점,p626A
56423,GS25 왕십리청계천점,2190,성동행당지점,p626A
60739,GS25 사근본점,2190,성동행당지점,p626A
60744,GS25 왕십리도선점,2190,성동행당지점,p626A
60745,GS25 금호역점,2190,성동행당지점,p626A
60746,GS25 옥수상떼뷰점,2190,성동행당지점,p626A
64859,세븐일레븐 한양대타운점,2190,성동행당지점,p626A
65802,GS25 서울숲푸르지오점,2190,성동행당지점,p626A
65839,GS25 성동무학교점,2190,성동행당지점,p626A
66066,GS25 왕십리동진점,2190,성동행당지점,p626A
67216,CU 왕십리KCC점,2190,성동행당지점,p626A
67218,CU 도선공원점,2190,성동행당지점,p626A
75515,세븐일레븐 마장하영점,2190,성동행당지점,p626A
76910,CU 금호래미안점,2190,성동행당지점,p626A
83936,혜성한의원(금호점),2190,성동행당지점,p626A
97404,파리바게뜨 마장역점,2190,성동행당지점,p626A
99998,파리바게뜨 한양대학교병원점,2190,성동행당지점,p626A
196907,요기요OD_성북길음지점/강북도봉,3205,성북길음지점,p797A
196908,요기요OD_단건_성북길음지점/강북도봉,3205,성북길음지점,p797A
197892,[월곡동]슈퍼키친(반찬상점) 1층,3205,성북길음지점,p797A
198466,CU 길음센터피스점,3205,성북길음지점,p797A
237784,[길음역]길음역라와마라탕 1층,3205,성북길음지점,p797A
257468,[길음역]치킨매니아플러스 길음점,3205,성북길음지점,p797A
65147,GS25 길음역점,3205,성북길음지점,p797A
97054,[길음뉴타운]뚜레쥬르 길음뉴타운,3205,성북길음지점,p797A
117550,즉) 아리따움 한성대점,4026,성북동선지점,p943A
148362,이마트에브리데이 성북동점,4026,성북동선지점,p943A
154862,GS25 성북구청점,4026,성북동선지점,p943A
158972,CU 동소문본점,4026,성북동선지점,p943A
165280,CU 성북보문점,4026,성북동선지점,p943A
165281,CU 보문아남점,4026,성북동선지점,p943A
165565,요기요OD_성북동선지점/성북,4026,성북동선지점,p943A
165703,요기요OD_단건_성북동선지점/성북,4026,성북동선지점,p943A
167041,CU 성북한신점,4026,성북동선지점,p943A
173387,CU 성북리치점,4026,성북동선지점,p943A
181742,(선택)배스킨라빈스 성북아리랑점,4026,성북동선지점,p943A
181743,(선택)배스킨라빈스 보문역점,4026,성북동선지점,p943A
181744,(선택)배스킨라빈스 한성대입구역점,4026,성북동선지점,p943A
181745,(선택)배스킨라빈스 성신여대점,4026,성북동선지점,p943A
181747,(선택)배스킨라빈스 성북종암점,4026,성북동선지점,p943A
191848,파리바게뜨 동소문한신점,4026,성북동선지점,p943A
193683,올리브영 돈암중앙점,4026,성북동선지점,p943A
193684,올리브영 돈암점,4026,성북동선지점,p943A
193685,올리브영 성신여대입구역점,4026,성북동선지점,p943A
193877,[유휴]올리브영 돈암중앙점,4026,성북동선지점,p943A
193878,[유휴]올리브영 돈암점,4026,성북동선지점,p943A
193879,[유휴]올리브영 성신여대입구역점,4026,성북동선지점,p943A
219944,올리브영 한성대입구역점,4026,성북동선지점,p943A
220823,[유휴]올리브영 한성대입구역점,4026,성북동선지점,p943A
233841,(선택)파리바게뜨 종암사거리점,4026,성북동선지점,p943A
23963,파리바게뜨 한성대역점,4026,성북동선지점,p943A
24112,파리바게뜨 동소문점,4026,성북동선지점,p943A
38767,파리바게뜨 종암점,4026,성북동선지점,p943A
42272,홈플러스익스프레스 삼선점,4026,성북동선지점,p943A
48790,맥도날드 종암SK점,4026,성북동선지점,p943A
53499,CU 동소문중앙점,4026,성북동선지점,p943A
53500,CU 동소문태양점,4026,성북동선지점,p943A
53570,CU 성북로데오점,4026,성북동선지점,p943A
53573,CU 성북삼선교점,4026,성북동선지점,p943A
53575,CU 성북점,4026,성북동선지점,p943A
56455,GS25 중앙병원점,4026,성북동선지점,p943A
59080,GS25 보문역점,4026,성북동선지점,p943A
61115,GS25 성북건영점,4026,성북동선지점,p943A
61137,GS25 종암타운점,4026,성북동선지점,p943A
61141,GS25 성신사랑점,4026,성북동선지점,p943A
65076,GS25 고대종암점,4026,성북동선지점,p943A
65841,GS25 성북동진점,4026,성북동선지점,p943A
66262,GS25 종암파크점,4026,성북동선지점,p943A
87752,GS25 동소문제일점,4026,성북동선지점,p943A
87761,GS25 동소문타운점,4026,성북동선지점,p943A
90993,세븐일레븐 성북돈암초교점,4026,성북동선지점,p943A
95457,GS25 성북보문점,4026,성북동선지점,p943A
95461,GS25 성북한성점,4026,성북동선지점,p943A
95753,투썸플레이스 종암점,4026,성북동선지점,p943A
